timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool
28:02.6,20 - 24,Female,Postgraduate (Masters/PhD),Linguistics,Off-campus,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29:22.8,20 - 24,Female,1st Year,Business & Accountancy,Off-campus,15 min to 30 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29:47.5,20 - 24,Male,2nd Year,Pure & Applied Sciences,Hostel,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
34:20.6,15 - 19,Female,Foundation,Foundation,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,4,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
36:39.1,30 - 34,Female,Postgraduate (Masters/PhD),Arts & Social Sciences,Off-campus,1 hr+,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,2,"No, never",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37:31.3,20 - 24,Female,Postgraduate (Masters/PhD),Business & Accountancy,Off-campus,15 min to 30 min,Full-time student,No,,Fully In-Person,2,"Yes, consistently",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
37:47.1,25 - 29,Male,Postgraduate (Masters/PhD),Education,Off-campus,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
38:32.9,20 - 24,Female,1st Year,Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,Yes,10 to 30 hours per week,Fully In-Person,3,"Yes, sometimes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
43:16.7,15 - 19,Male,Foundation,Computer Science & IT,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
44:47.0,40 - 44,Female,Postgraduate (Masters/PhD),Arts & Social Sciences,Off-campus,Under 15 min,Part-time student,Yes,Less than 10 hours per week,Hybrid / Blended - a mix of online and in-person,2,"Yes, sometimes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44:51.0,15 - 19,Male,Foundation,Foundation,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,2,"Yes, sometimes",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
48:40.1,45 - 49,Male,Postgraduate (Masters/PhD),Business & Accountancy,Off-campus,15 min to 30 min,Part-time student,Yes,Less than 10 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50:08.9,20 - 24,Male,3rd Year,Pure & Applied Sciences,Off-campus,30 min to 1 hr,Full-time student,No,,Fully In-Person,3,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
52:44.4,20 - 24,Male,2nd Year,Pure & Applied Sciences,Off-campus,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58:19.5,20 - 24,Male,1st Year,Computer Science & IT,Off-campus,Under 15 min,Full-time student,No,,Fully Online,4,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
59:08.4,20 - 24,Female,3rd Year,Linguistics,Hostel,Under 15 min,Full-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
59:37.3,15 - 19,Male,4th Year,Pure & Applied Sciences,Hostel,30 min to 1 hr,Full-time student,No,,Fully In-Person,3,"No, rarely",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
05:17.0,15 - 19,Female,Foundation,Physical Science,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,4,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57:00.1,25 - 29,Male,Postgraduate (Masters/PhD),Pure & Applied Sciences,Off-campus,Under 15 min,Full-time student,No,,Fully In-Person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
07:11.5,20 - 24,Male,4th Year,Business & Accountancy,Hostel,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
